type,category,meal,source,section,ingredient,amount,units,notes
vegetarian main,dinner,black bean burgers,Obsidian Recipe Database Noah,produce,sweet potato,1.25,lbs,4 cups worth
vegetarian main,dinner,black bean burgers,Obsidian Recipe Database Noah,pantry,olive oil,1,T,Plus 2 tsp
vegetarian main,dinner,black bean burgers,Obsidian Recipe Database Noah,pantry,sea salt,0.5,tsp,
vegetarian main,dinner,black bean burgers,Obsidian Recipe Database Noah,bulk barn,walnuts or sunflower seeds,1,c,Chopped
vegetarian main,dinner,black bean burgers,Obsidian Recipe Database Noah,produce,onion,0.67,c,Finely chopped
vegetarian main,dinner,black bean burgers,Obsidian Recipe Database Noah,produce,garlic,3,T,Crushed (6-7 cloves)
vegetarian main,dinner,black bean burgers,Obsidian Recipe Database Noah,pantry,black beans,2,tins,14 oz each -drained and rinsed
vegetarian main,dinner,black bean burgers,Obsidian Recipe Database Noah,pantry,paprika,1,tsp,Part of 9-spice mix
vegetarian main,dinner,black bean burgers,Obsidian Recipe Database Noah,pantry,garlic powder,1,tsp,Part of 9-spice mix
vegetarian main,dinner,black bean burgers,Obsidian Recipe Database Noah,pantry,onion powder,1,tsp,Part of 9-spice mix
vegetarian main,dinner,black bean burgers,Obsidian Recipe Database Noah,pantry,salt,1,tsp,Part of 9-spice mix
vegetarian main,dinner,black bean burgers,Obsidian Recipe Database Noah,pantry,oregano,0.5,tsp,Part of 9-spice mix
vegetarian main,dinner,black bean burgers,Obsidian Recipe Database Noah,pantry,black pepper,0.5,tsp,Part of 9-spice mix
vegetarian main,dinner,black bean burgers,Obsidian Recipe Database Noah,pantry,turmeric,0.25,tsp,Part of 9-spice mix
vegetarian main,dinner,black bean burgers,Obsidian Recipe Database Noah,pantry,thyme,0.25,tsp,Part of 9-spice mix
vegetarian main,dinner,black bean burgers,Obsidian Recipe Database Noah,pantry,smoked paprika,0.25,tsp,Part of 9-spice mix
vegetarian main,dinner,black bean burgers,Obsidian Recipe Database Noah,produce,parsley,0.25,c,Chopped - fresh flat-leaf
vegetarian main,dinner,black bean burgers,Obsidian Recipe Database Noah,pantry,bbq sauce,0.33,c,
vegetarian main,dinner,black bean burgers,Obsidian Recipe Database Noah,pantry,breadcrumbs,1,c,Or panko
vegetarian main,dinner,black bean burgers,Obsidian Recipe Database Noah,pantry,oatmeal,2,T,
